판매일시,파종일시,도,PC1,PC2,PC3,PC4,가격,도_num,파종연월,판매연월
2015-06-06,2015-02-06,대구광역시,2.0498485502866064,-0.5030591401516117,-0.402779383373977,-0.33954096079680574,-1.0,9,2015-02,2015-06
2015-06-06,2015-02-06,대전광역시,0.3882290167659859,-0.4827249509015922,-0.14513600099269292,-0.08453787986182075,-1.0,7,2015-02,2015-06
2015-06-06,2015-02-06,부산광역시,1.4155866225517746,0.35233362209013735,0.15721904075244567,0.12095621734943353,-1.0,13,2015-02,2015-06
2015-06-06,2015-02-06,서울특별시,3.180224133839371,-1.4506886838967512,-0.3432399690171883,1.0885274212675995,-1.0,3,2015-02,2015-06
2015-06-06,2015-02-06,울산광역시,2.1621628191077984,-0.38000850327048574,0.016488421107764852,0.8030860928997334,-1.0,10,2015-02,2015-06
2015-06-06,2015-02-06,인천광역시,2.1460636419120322,-0.7485170747658089,0.016417741016073076,1.1151132879873182,-1.0,2,2015-02,2015-06
2015-06-06,2015-02-06,전라남도,-0.7496298181832393,0.15388090034412202,0.19726452953322102,0.1317924303502516,-1.0,14,2015-02,2015-06
2015-06-06,2015-02-06,전라북도,0.05840680515396676,-0.21361444956600384,-0.0784357153196716,-0.09616677027194401,-1.0,8,2015-02,2015-06
2015-06-06,2015-02-06,충청남도,-0.38330698200836005,-0.26336089193998685,-0.11055034784719524,-0.3031799631684145,-1.0,6,2015-02,2015-06
2015-06-06,2015-02-06,충청북도,2.0185152231992394,-0.3104105115153132,0.07922732127916293,0.8367556940529889,-1.0,5,2015-02,2015-06
2015-06-07,2015-02-07,강원도,1.643545848056656,0.07842357720046604,-0.011830456344527215,0.0745912519849543,17250.0,0,2015-02,2015-06
2015-06-07,2015-02-07,경기도,2.5802442111293167,-0.9913960449197432,-0.22400238427159444,0.8278670862386928,17250.0,1,2015-02,2015-06
2015-06-07,2015-02-07,경상남도,0.4921279896527425,-0.16326179455556153,-0.1261280403052506,-0.22574356855001756,17250.0,11,2015-02,2015-06
2015-06-07,2015-02-07,경상북도,0.5425710328866906,-0.02396806921721883,0.07174629269854513,0.27619430344764623,17250.0,4,2015-02,2015-06
2015-06-07,2015-02-07,광주광역시,1.147403890211689,-0.8729645418295988,-0.5474259113312558,-0.6085110437840662,17250.0,12,2015-02,2015-06
2015-06-07,2015-02-07,대구광역시,0.46167284372918643,-0.6796005034459656,-0.247854586463105,-0.20338098766910379,17250.0,9,2015-02,2015-06
2015-06-07,2015-02-07,대전광역시,0.22460354787012118,-0.9129850625275504,-0.27473989688503114,-0.19856972605917797,17250.0,7,2015-02,2015-06
2015-06-07,2015-02-07,부산광역시,1.4815719228522715,-0.09170454781984164,0.19960384082804505,0.5547104572800552,17250.0,13,2015-02,2015-06
2015-06-07,2015-02-07,서울특별시,3.1375547951805123,-1.6779623684738356,-0.39869288448553286,1.1544703224675392,17250.0,3,2015-02,2015-06
2015-06-07,2015-02-07,울산광역시,1.3707054235346061,-0.621943103117017,-0.08553724312532777,0.43928688532195276,17250.0,10,2015-02,2015-06
2015-06-07,2015-02-07,인천광역시,2.1960828618876365,-0.6832340494282817,0.07994842795865212,1.160904823158082,17250.0,2,2015-02,2015-06
2015-06-07,2015-02-07,전라남도,-0.30739183058872366,0.18735096680614285,0.17419078809009533,0.014466026039524278,17250.0,14,2015-02,2015-06
2015-06-07,2015-02-07,전라북도,0.11243277707034045,-0.49729268350598815,-0.22318910226951447,-0.33813707195595594,17250.0,8,2015-02,2015-06
2015-06-07,2015-02-07,충청남도,-0.26873053174189016,-0.3349270839998899,-0.2127075573363719,-0.5239004817716183,17250.0,6,2015-02,2015-06
2015-06-07,2015-02-07,충청북도,1.722312443166837,-0.7770900355108822,-0.23497752430679508,0.2487728740982654,17250.0,5,2015-02,2015-06
2015-06-08,2015-02-08,강원도,-0.14074835950101255,1.6495530233058415,0.39463689664100254,-0.5657262761964136,14000.0,0,2015-02,2015-06
2015-06-08,2015-02-08,경기도,0.29363617435871925,1.5711339117445846,0.27157259518237875,-0.8148831829291152,14000.0,1,2015-02,2015-06
2015-06-08,2015-02-08,경상남도,-1.2079960268169547,1.1200548355585467,0.3348910185070689,-0.5079908746700432,14000.0,11,2015-02,2015-06
2015-06-08,2015-02-08,경상북도,-0.18289569528187352,1.4227902722241825,0.40061738194496316,-0.4053918888459902,14000.0,4,2015-02,2015-06
2015-06-08,2015-02-08,광주광역시,-1.478063514563323,0.5328525211008597,0.28542904384396217,-0.12652541166605696,18000.0,12,2015-02,2015-06
2015-06-08,2015-02-08,대구광역시,-1.569486063986122,0.6409663913848317,0.2383640041329381,-0.4399992454227932,20000.0,9,2015-02,2015-06
2015-06-08,2015-02-08,대전광역시,-1.0111516643658105,0.9785632660174695,0.161072009765169,-0.9804097354550876,19000.0,7,2015-02,2015-06
2015-06-08,2015-02-08,부산광역시,-0.7398493704525451,0.953056759913855,0.574487975367384,0.3432314422440052,19000.0,13,2015-02,2015-06
2015-06-08,2015-02-08,서울특별시,0.12510039566386633,0.861575979333588,0.3143516573062684,-0.08367435816267006,14000.0,3,2015-02,2015-06
2015-06-08,2015-02-08,울산광역시,-0.47557597015023484,0.933414366693796,0.2486287878760939,-0.4265493646998468,14000.0,10,2015-02,2015-06
2015-06-08,2015-02-08,인천광역시,-0.06936009437536651,1.3780112078830722,0.3064518259646043,-0.6929437965914774,14000.0,2,2015-02,2015-06
2015-06-08,2015-02-08,전라남도,-1.3998569433946602,0.8034384156148316,0.2369275131360881,-0.5987224022260925,14000.0,14,2015-02,2015-06
2015-06-08,2015-02-08,전라북도,-0.1964279445689258,1.12174721271678,0.4148529027198625,-0.3543782709403946,14000.0,8,2015-02,2015-06
2015-06-08,2015-02-08,충청남도,-0.8726231232502152,1.32168513505838,0.1281450108035499,-1.3575938001765986,14000.0,6,2015-02,2015-06
2015-06-08,2015-02-08,충청북도,-0.0250440213349007,1.3717476407969826,0.3277961804308147,-0.6465224721809114,14000.0,5,2015-02,2015-06
2015-06-09,2015-02-09,강원도,-0.3119780150585104,0.2321592095792779,0.14073933579817885,-0.12487654664673549,13000.0,0,2015-02,2015-06
2015-06-09,2015-02-09,경기도,0.9706332802040939,-0.4740628404247647,-0.014001656105491395,0.288570824388337,13000.0,1,2015-02,2015-06
2015-06-09,2015-02-09,경상남도,-1.9392120526432983,-0.1409323455117115,0.052175972719100745,-0.36605064991080655,13000.0,11,2015-02,2015-06
2015-06-09,2015-02-09,경상북도,-0.48192202167926695,0.547994753285424,0.2697038675779623,-0.15197419616976945,13000.0,4,2015-02,2015-06
2015-06-09,2015-02-09,광주광역시,-1.3655431576733812,-0.8292770032463225,-0.02506666603297675,0.26931902113162076,18000.0,12,2015-02,2015-06
2015-06-09,2015-02-09,대구광역시,-1.6736845756582408,-0.5624164118636129,0.03181262245194313,-0.008125215738552504,19000.0,9,2015-02,2015-06
2015-06-09,2015-02-09,대전광역시,-0.7070916712951317,-0.34385118339463855,-0.1305296000373565,-0.6075852464659502,19000.0,7,2015-02,2015-06
2015-06-09,2015-02-09,부산광역시,-1.8048534059566497,-0.49705081064737006,0.39989535113261765,0.9222447157692464,18000.0,13,2015-02,2015-06
