,일시,도_num,연도,SO2,CO,O3,NO2,PM10,PM25,합계 일조시간(hr),품종명,도,마켓명,가격
1021,2013-03-10,1,2013,0.0038223628691983133,0.35501054852320685,0.03486128691983123,0.012005696202531651,54.82331223628694,24.61820719445398,10.96,토마토(10kg),경기도,가락도매,37000.0
1036,2013-03-11,1,2013,0.005100632911392407,0.5518987341772151,0.017822784810126592,0.035884599156118135,57.70094936708863,33.44508671340844,10.98,토마토(10kg),경기도,가락도매,37000.0
1051,2013-03-12,1,2013,0.0064414556962025344,0.7308544303797464,0.01019356540084388,0.050696255274261616,72.90506329113923,45.14511520856146,3.3200000000000003,토마토(10kg),경기도,가락도매,30000.0
1066,2013-03-13,1,2013,0.003529113924050632,0.4594409282700422,0.02403533755274261,0.02448929324894516,32.27267932489452,37.714912464226906,4.7,토마토(10kg),경기도,가락도매,30000.0
1081,2013-03-14,1,2013,0.0035910864978902944,0.4427742616033755,0.023883966244725743,0.026796202531645576,29.401898734177212,27.66178963329485,9.3,토마토(10kg),경기도,가락도매,32000.0
1096,2013-03-15,1,2013,0.0069087025316455705,0.5983122362869198,0.01898575949367089,0.039295833333333335,56.411392405063296,24.915781045913548,9.98,토마토(10kg),경기도,가락도매,32000.0
1111,2013-03-16,1,2013,0.0065695147679324896,0.5639767932489451,0.016612341772151904,0.04108412447257384,52.87289029535866,28.00608679583304,10.3,토마토(10kg),경기도,가락도매,32333.33333333333
1126,2013-03-17,1,2013,0.0062085443037974706,0.6069620253164556,0.019246308016877642,0.036607172995780604,62.48101265822785,36.070086688391385,6.14,토마토(10kg),경기도,가락도매,32666.66666666667
1141,2013-03-18,1,2013,0.0037776898734177243,0.4301160337552743,0.02544725738396625,0.025275685654008444,35.87710970464134,39.352071907791135,7.56,토마토(10kg),경기도,가락도매,33000.0
1156,2013-03-19,1,2013,0.0048712552742616036,0.535337552742616,0.017226265822784814,0.030421466244725755,55.08597046413502,32.10968848950674,3.06,토마토(10kg),경기도,가락도매,33000.0
1171,2013-03-20,1,2013,0.0036088607594936726,0.4207278481012659,0.024979957805907185,0.019913132911392413,40.72204641350211,32.68869533691078,5.1,토마토(10kg),경기도,가락도매,33000.0
1186,2013-03-21,1,2013,0.006538765822784812,0.4815928270042195,0.02125896624472575,0.028706962025316463,44.89820675105485,28.53068510890777,10.98,토마토(10kg),경기도,가락도매,33000.0
1201,2013-03-22,1,2013,0.0058547995780590745,0.5800632911392403,0.014051160337552748,0.03914525316455697,56.99578059071732,31.306427596985788,1.52,토마토(10kg),경기도,가락도매,33000.0
1216,2013-03-23,1,2013,0.005337763713080168,0.5365506329113925,0.02114767932489452,0.035867721518987344,66.01424050632912,36.57548737532836,10.44,토마토(10kg),경기도,가락도매,33000.0
1231,2013-03-24,1,2013,0.005731645569620256,0.482331223628692,0.034369198312236296,0.021915717299578082,53.96308016877637,42.63592074262666,10.6,토마토(10kg),경기도,가락도매,33000.0
1246,2013-03-25,1,2013,0.004274419831223631,0.44994725738396624,0.030185654008438825,0.020061972573839668,48.02109704641351,47.494550056548185,11.26,토마토(10kg),경기도,가락도매,33000.0
1261,2013-03-26,1,2013,0.005538554852320676,0.5591244725738395,0.01959335443037975,0.036432805907173016,54.32067510548522,39.85295098490556,11.24,토마토(10kg),경기도,가락도매,33000.0
1276,2013-03-27,1,2013,0.00672383966244726,0.6158227848101265,0.01918670886075949,0.043989082278481036,54.420886075949355,44.752545851504365,11.14,토마토(10kg),경기도,가락도매,33000.0
1291,2013-03-28,1,2013,0.006222943037974688,0.5220991561181433,0.01772573839662448,0.038350105485232086,51.919831223628705,39.36561586406747,3.94,토마토(10kg),경기도,가락도매,33000.0
1306,2013-03-29,1,2013,0.004589504219409285,0.4315400843881856,0.030287974683544293,0.02171223628691984,47.425632911392405,38.11202656648671,11.42,토마토(10kg),경기도,가락도매,35000.0
1321,2013-03-30,1,2013,0.00475084388185654,0.480801687763713,0.0276893459915612,0.026975158227848114,49.47310126582277,38.186644305464455,3.8,토마토(10kg),경기도,가락도매,36666.66666666666
1336,2013-03-31,1,2013,0.004771993670886075,0.5401371308016877,0.02568776371308016,0.029726213080168786,55.68618143459918,36.524761351662654,9.8,토마토(10kg),경기도,가락도매,38333.333333333336
1351,2013-04-01,1,2013,0.005811128691983124,0.6576476793248944,0.01911867088607596,0.04651714135021099,71.59388185654008,31.39528097511884,2.28,토마토(10kg),경기도,가락도매,40000.0
1366,2013-04-02,1,2013,0.003600158227848104,0.5387130801687763,0.02106012658227848,0.03276492616033757,40.693565400843895,30.33413874127059,0.5599999999999999,토마토(10kg),경기도,가락도매,38000.0
1381,2013-04-03,1,2013,0.006263871308016879,0.6486814345991563,0.030655590717299588,0.03193955696202532,63.69145569620254,29.696094103350173,8.180000000000001,토마토(10kg),경기도,가락도매,32000.0
